name,rating,price,url
C. Ronaldo dos Santos Aveiro,94,2480000,https://www.futbin.com/18/player/6/Cristiano%20Ronaldo
Lionel Messi,93,1730000,https://www.futbin.com/18/player/12/Messi
Neymar da Silva Santos Jr.,92,910000,https://www.futbin.com/18/player/20/Neymar
Paul Pogba,87,725000,https://www.futbin.com/18/player/130/Pogba
Luis Suárez,92,716000,https://www.futbin.com/18/player/19/Su%C3%A1rez
Sergio Agüero,89,620000,https://www.futbin.com/18/player/73/Ag%C3%BCero
Gareth Bale,89,620000,https://www.futbin.com/18/player/74/Bale
Pierre-Emerick Aubameyang,88,468000,https://www.futbin.com/18/player/101/Aubameyang
Eden Hazard,90,440000,https://www.futbin.com/18/player/59/Hazard
Paulo Dybala,88,437000,https://www.futbin.com/18/player/105/Dybala
Romelu Lukaku,86,430000,https://www.futbin.com/18/player/166/Lukaku
Antoine Griezmann,88,415000,https://www.futbin.com/18/player/103/Griezmann
Robert Lewandowski,91,414000,https://www.futbin.com/18/player/33/Lewandowski
Kevin De Bruyne,89,380000,https://www.futbin.com/18/player/78/De%20Bruyne
Sergio Ramos García,90,335000,https://www.futbin.com/18/player/55/Sergio%20Ramos
N'Golo Kanté,87,309000,https://www.futbin.com/18/player/132/Kant%C3%A9
Alexandre Lacazette,85,300000,https://www.futbin.com/18/player/201/Lacazette
David De Gea Quintana,90,290000,https://www.futbin.com/18/player/61/De%20Gea
Manuel Neuer,92,269000,https://www.futbin.com/18/player/18/Neuer
Radja Nainggolan,86,265000,https://www.futbin.com/18/player/157/Nainggolan
Kylian Mbappé,83,223000,https://www.futbin.com/18/player/325/Mbapp%C3%A9
Arturo Vidal,87,210000,https://www.futbin.com/18/player/128/Vidal
Alexis Sánchez,89,199000,https://www.futbin.com/18/player/76/S%C3%A1nchez
Sadio Mané,84,185000,https://www.futbin.com/18/player/250/Man%C3%A9
Marco Reus,86,184000,https://www.futbin.com/18/player/161/Reus
Jérôme Boateng,88,177000,https://www.futbin.com/18/player/99/Boateng
Giorgio Chiellini,89,159000,https://www.futbin.com/18/player/72/Chiellini
Zlatan Ibrahimović,88,159000,https://www.futbin.com/18/player/93/Ibrahimovi%C4%87
Dries Mertens,86,153000,https://www.futbin.com/18/player/155/Mertens
James Rodríguez,86,145000,https://www.futbin.com/18/player/169/Rodr%C3%ADguez
Arjen Robben,88,137000,https://www.futbin.com/18/player/92/Robben
David Alaba,86,135000,https://www.futbin.com/18/player/167/Alaba
